faiss_idx,item_id,source,title,authors,category,text
4534,book_4548,book,The Skystone,Jack Whyte,"Children's literature, Historical fiction, Speculative fiction",";Invasion: The book begins with Publius Varrus laying its framework: he is retelling his history and the history of the Roman withdrawal from Britain. He then begins by talking about an ambush by Celts where he and Caius Britannicus are injured. While thinking about his time spent with Britannicus recovering from these injuries, his thoughts lead to their meeting: Britannicus had been a captive of Berbers and Varrus freed him from them. After this encounter Varrus recalls how he and Britannicus "
4535,book_4549,book,Wiggle,Unknown,Unknown,"The book is about wiggling. For instance, ""First wiggle where your tail would be. Then wiggle all your hair. Feeling extra silly? Wiggle in your underwear!"""
4536,book_4550,book,Il Filostrato,Giovanni Boccaccio,Unknown,"Calcas, a Trojan prophet, has foreseen the fall of the city and joined the Greeks. His daughter, Criseida, is protected from the worse consequences of her father's defection by Hector alone. Troilo sees the lovelorn glances of other young men attending a festival in the Palladium. But almost immediately he sees a young widow in mourning. This is Criseida. Troilo falls in love with her but sees no sign of her similar feelings in him, despite his efforts to attract attention by excelling in the ba"
4537,book_4551,book,Sidney Sheldon's After the Darkness,Tilly Bagshawe,Thriller,"Grace Brookstein lived a luxurious lifestyle despite the economic free fall in the US. Then suddenly her billionaire husband Lenny mysteriously disappeares in a tragic sailing accident. Along with Lenny's disappearance, Lenny's hedge fund, the Quorum, that has a $75 billion investment is also missing and everyone believes that Grace stole the money. She was convicted and imprisoned. Grace believed that she is framed. Now alone and no one to turn to, she is determined to find out who is framing h"
4538,book_4552,book,Des haricots partout,Unknown,Unknown,"In Beans Everywhere, the attack on the bridge of Pagor Tevat fails, fortunately. Fantasio is therefore able to inspect Kuor-Lamb and collect information on the way that the harvests of Kodo function. Spirou manages to contact with him thanks to the pigeon of Prabang; the rebels attempt to remove Spirou from the scene. United at last, Fantasio and Spirou develop a plan to overthrow the dictator. Benefiting from the departure of Matteo, the rebels make leave Spirou the country; this brings the Cou"
4539,book_4553,book,Matters of the Heart,Danielle Steel,Novel,"Hope Dunne lives in a chic SoHo loft, content with her life as a top photographer. So when she accepts a London assignment at Christmas to photograph a world famous writer, she never expected to fall in love. Finn O’Neill is taken aback with Hope and they have a windswept romance with Finn whisking her away to his palatial, Irish estate. Though divorced, Hope loves her ex-husband Paul very much. Paul, a retired surgeon,divorced her only because he didn't want to pull her along with him as he die"
4540,book_4554,book,Royal Exile,Fiona McIntosh,Fantasy,"Royal Exile begins with the capture of Barronel at the hands of Loethar, a barbarian warlord from the Likurian Steppes, who has his sights set on the illusive realm of Penraven. Fearful, now that its neighbours have been captured, King Brennus of Penraven sees to the birth of his daughter, to whom he declares deceased. Legate Regor De Vis, and his twin sons Corbel and Gavriel are called to bare witness to Brennus’ cunning plan. Choosing Corbel to whisk away his ‘deceased’ daughter, the task of p"
4541,book_4555,book,Sorcerer's Apprentice,François Augiéras,Novel,"The novel is set in the Sarladais (the Dordogne region of France). An adolescent boy is sent to live with a 35-year-old priest, who becomes his teacher and spiritual mentor, and exerts a powerful control over the boy. He abuses him physically and sexually, but the boy willingly accepts his 'punishment.' The boy falls in love with a slightly younger, and very beautiful boy, meeting in secret and having sex. This disturbing story is much more than a tale of a sexually violent predator. The adolesc"
4542,book_4556,book,The Champion Maker,Kevin Joseph,Thriller,"The Champion Maker is hybrid of suspense and sports fiction. Set primarily in the Washington, D.C. area, it tells the story of an unorthodox track coach and his young protégé's quest for Olympic gold in two disparate events: the 100 meter dash and the 1500 meter run. Along the way, they uncover a dark conspiracy involving genetic engineering."
4543,book_4557,book,The Persian Boy,Mary Renault,"Fiction, Historical novel","Like much of Renault's fiction, the book, published in 1972, provides a sympathetic portrait of homosexual love. The Persian Boy is notable for its depiction of the tradition of pederasty in ancient Greece, where relationships between adult men and adolescent boys were celebrated. In the novel, Bagoas is 15 years old when he begins his relationship with Alexander (then about 26). Renault depicts the attachment as lasting until Alexander's death, when Bagoas would have been about 22. She movingly"
4544,book_4558,book,Walking Into the Night,Ólafur Jóhann Ólafsson,Unknown,"For twenty years Christian Benediktsson has led a quiet life as the butler to William Randolph Hearst, the greatest newspaper magnate in the world. His days are filled with the rituals of Hearst’s life and the demands of running a grand household. But in his most private thoughts and memories, he relives another life: once a husband and father in Iceland, he abandoned his family for an actress in New York, where his affair ended in death and financial ruin. Retreating from his previous existence"
4545,book_4559,book,Sunset at Blandings,P. G. Wodehouse,Unknown,"The story is, as the poignant name suggests, another tale set at Blandings Castle, filled as ever with romance and imposters. Galahad Threepwood uses his charm and wit to ensure his brother Clarence continues to lead a quiet and peaceful life."
4546,book_4560,book,The Wild Irish Girl,Lady Morgan,"Epistolary novel, Romance novel","The Hon. Horatio M———, son of the Earl of M———, is banished to his father's estate on the northwest coast of Connacht (i.e. County Mayo) as punishment for accumulating large debts. The novel consists of letters written by Horatio to his friend J.D., an MP. He finds a dilapidated castle and the remnants of the Catholic Gaelic nobility that was displaced by his ancestors after the Cromwellian conquest of Ireland. He acquires a new respect for Irish history and culture and falls in love with an Iri"
4547,book_4561,book,Ceres Storm,Unknown,Science Fiction,"In the distant future on a terraformed Mars, Daric discovers that he is a clone of a former Emperor of Earth named Darius. Daric is kidnapped by Kay-Tee agents in an attempt to bring him to earth to open Darius' complex that was sealed long ago. He escapes and begins a journey that takes him to an asteroid, Triton and Pluto's moon Charon."
4548,book_4562,book,A Stranger in Mayfair,Unknown,"Crime Fiction, Mystery","Charles Lenox, gentleman amateur detective, has recently married and has been elected to Parliament. Although Lenox plans to give up detection (due to the demands of his new vocation and to alleviate the concerns of his new wife), he is pulled into a case when a colleague in Parliament asks for help solving the murder of his footman."
4549,book_4563,book,Terrarium,Scott Sanders,Science Fiction,"In the late 21st century, humans have been forcibly moved into an enclosed network of domed cities connected by travel tubes known as 'The Human System'. The outside world was left because of extreme pollution, and the cities rely on harvesting the seas. Inside these cities, (called the ""Enclosure"") taboos extend so far as to make uncovered legs and unpainted faces a horrific sin. Due to likely ongoing large scale social engineering there are 12 stages for mating but most women have their reprod"
4550,book_4564,book,Alta,Mercedes Lackey,"Speculative fiction, Fantasy, Fiction","In this story, Kiron flies on Avatre to the place of his birth, Alta, with the help of the Bedu, nomadic desert dwellers. Upon reaching the outskirts of Alta City (capital of Alta), he rescues a girl, who turns out to be a daughter of a noble from a ""river-horse,"" or a hippopotamus. This girl, Aket-ten, has the power of Speaking to animals with her mind as well as the ""Far Seeing Eye"" and the ""Gift of Silent Speech""(with fellow Winged Ones). She is a Nestling, the designation of acolytes who liv"
4551,book_4565,book,The Three Christs of Ypsilanti,Unknown,Unknown,"To study the basis for delusional belief systems, Rokeach brought together three men who each claimed to be Jesus Christ and confronted them with one another's conflicting claims, while encouraging them to interact personally as a support group. Rokeach also attempted to manipulate other aspects of their delusions by inventing messages from imaginary characters. He did not, as he had hoped, provoke any lessening of the patients' delusions, but did document a number of changes in their beliefs. W"
4552,book_4566,book,The Swineherd,Hans Christian Andersen,"Children's literature, Fiction","A poor prince wants to marry the Emperor's daughter and sends her two beautiful gifts, a nightingale and a rose. The princess rejects the humble gifts because they're real and natural, rather than artificial. The prince then disguises himself and applies for the position of swineherd at the palace. Once on the job, he creates a musical pot. The princess slogs through the mud to the swineherd's hut and pays ten kisses for the pot. When the swineherd follows the pot with the creation of a musical "
4553,book_4567,book,The Turner Diaries,William Luther Pierce,Unknown,"The narrative starts with a foreword set in 2099, one hundred years after the events depicted in the book. The bulk of the book then quotes a recently discovered diary of a man named Earl Turner, an active member of the white Aryan revolutionary movement that caused these events. The book details a violent overthrow of the United States federal government by Turner and his militant comrades and a brutal contemporaneous race war that takes place first in North America, and then the rest of the wo"
4554,book_4568,book,The Man in the Moon,James Blaylock,"Speculative fiction, Fantasy, Fiction","The story centers on a long river trip organized when trading ships with Christmas items inexplicably fail to arrive. Unknown to the heroes, their route downriver to a seaside trading center will take them through areas under siege from evil forces including crazed goblins and malevolent witches. Professor Wurzle provides somewhat misguided explanations and histories for events as they arise. The youngest character, Dooly, is given to wild fantasies and stories. This frequently leaves the inexpe"
4555,book_4569,book,Lord Kelvin's Machine,James Blaylock,"Science Fiction, Speculative fiction, Steampunk","In Victorian London, Alice, the wife of scientist-explorer Langdon St. Ives, is murdered by his arch-nemesis, the hunchback Dr. Ignacio Narbondo. St. Ives and his valet, Hasbro, pursue Narbondo across Norway, contesting Narbondo's plot to destroy the earth and, later, efforts to revivify Narbondo's apparently frozen corpse. In the process St. Ives gains access to a powerful device created by Lord Kelvin, which allows St. Ives to travel through time. Note that the plot description of this book as"
4556,book_4570,book,Kiss of the Spider Woman,Manuel Puig,"Gay novel, Novel","Two prisoners, Luis Molina and Valentín Arregui, share a cell in a Buenos Aires Prison. It is estimated that the timeframe in which the story takes place is between September 9, 1975 through October 8, 1975. Molina, an effeminate and openly homosexual window-dresser, is in jail for ""corruption of a minor,"" while Valentín is a political prisoner who is part of a revolutionary group trying to overthrow the government. The two men, seemingly opposites in every way, form an intimate bond in their ce"
4557,book_4571,book,The Killing Zone,James Howard Hatfield,Spy fiction,"The novel begins with the murder of Bill Tanner by Klaus Doberman, a German-South American drug lord. Enraged by his friend's death, Bond disobeys his official orders to get revenge. The synopsis of this book is as follows: ""In this new high voltage spy thriller, Secret Agent 007 must ""liquidate"" ruthless billionaire kingpin Klaus Doberman. But James Bond has his hands full as he battles a luscious lady assassin who offers lethal love Russian style and a slit-eyed Oriental sadist who is an elusi"
4558,book_4572,book,Rise of the Dibor,Unknown,Unknown,"Luik is the young son of Lair, one of the minor kings of Dionia, a world where no sin, pain, or problems exist. At least, that's how it has been for centuries. When this story begins, strange occurrences are starting to befall Dionia. Malice, jealousy, greed and physical injury are beginning to mar this perfect world. The wise kings know that this is the work of Morgui, traitorous former servant of Dionia's ultimate ruler, the Most High. In response to this growing evil, war measures are taken, "
4559,book_4573,book,All American Girl,Meg Cabot,"Children's literature, Young adult literature, Fiction","SAM Madison has always been totally ordinary. Apart from having two weird sisters,of course. But then she does something utterly out of ordinary- she stops a crazy psycho from assassinating the American President. Now Sam's an instant, world famous celebrity.Dining at The White House is not easy for someone who lives on hamburgers and in combat boots.In fact there's only one compensation- DAVID, the presidents son......."
4560,book_4574,book,Class Reunion,Franz Werfel,"Fiction, Novel","The novel is about 43 year-old Dr. Ernst Sebastian, a lawyer who works as an Untersuchungsrichter (investigating judge) in the fictional town of Sankt Nikolaus during 1927. One Saturday afternoon a middle-aged man called Franz Adler, who has been arrested for the murder of a prostitute, is brought before him. During the interview&mdash;a preliminary hearing during which the two men are alone in Sebastian's office&mdash;Sebastian recognizes that Adler is in fact his old classmate, who attended th"
4561,book_4575,book,The Beast in the Jungle,Henry James,Novella,"John Marcher, the protagonist, is reacquainted with May Bartram, a woman he knew ten years earlier, who remembers his odd secret: Marcher is seized with the belief that his life is to be defined by some catastrophic or spectacular event, lying in wait for him like a ""beast in the jungle."" May decides to buy a house in London with the money she inherited from a great aunt, and to spend her days with Marcher, curiously awaiting what fate has in store for him. Marcher is a hopeless egoist, who beli"
4562,book_4576,book,A Civil Action,Jonathan Harr,"Speculative fiction, Non-fiction, Sociology","After finding that her child is diagnosed with leukemia, Anne Anderson notices a high incidence of leukemia, a relatively rare disease, in her city. Eventually she gathers other families and seeks a lawyer, Jan Schlichtmann, to consider their options. Schlichtmann originally decides not to take the case due to both the lack of evidence and a clear defendant. Later picking up the case, Schlichtmann finds evidence suggesting trichloroethylene (TCE) contamination of the town's water supply by Riley"
4563,book_4577,book,Bao Gong An,Unknown,Mystery,"The Judge Bao Zheng unveiled the evil doings by reasoning, with the help of his assistant. He has dark brown skin and a moon-shaped scar on his forehead. He has four bodyguards and one personal expert."
4564,book_4578,book,Green Mansions,William Henry Hudson,"Biography, Speculative fiction, Romance novel","Prologue: An unnamed narrator tells how he befriended an old ""Spanish"" gentleman who never spoke of his past. Piqued, the narrator finally elicits the story. Venezuela, c. 1840. Abel, a young man of wealth, fails at a revolution and flees Caracas into the uncharted forests of Guyana. Surviving fever and hostile Indian attacks, failing at journal-keeping and gold hunting, he settles in an Indian village to waste away his life: playing guitar for old Cla-Cla, hunting badly with Kua-Ko, telling sto"
4565,book_4579,book,Forces and Fields,Unknown,Unknown,"Forces and Fields has eleven chapters. The first ten chapters consist of 5 or more sections. The eleventh, 2 sections. These chapters are titled The Logical Status of Theories, The Primitive Analogies, Mechanism in Greek Science, The Greek Inheritance, The Corpuscular Philosophy, The Theory of Gravitation, Action at a Distance, The Field Theories, The theory of Relativity, Modern Physics, and The Metaphysical Framework of Physics."
4566,book_4580,book,"December 7, 1941: A Different Path",Unknown,Alternate history,"The novel begins with a Japanese air strike on the port of Vladivostok, the prelude to a Japanese invasion of western Siberia. Simultaneously, Japanese forces strike southward, bypassing the American colony in the Philippines and taking Australia and the European colonies in southeast Asia. Facing invasion on two fronts, the Soviet Union soon collapses, as Joseph Stalin and his entourage are massacred by escapees from a gulag during their evacuation from Moscow. Though President Franklin D. Roos"
4567,book_4581,book,Filth,Irvine Welsh,"Crime Fiction, Fiction","The plot centres on Bruce Robertson, a detective sergeant serving in Edinburgh's ""Lothian Constabulary"". Robertson is an intensely misanthropic man driven by intense hatred, and is fuelled by his penchant for ""the games"" &mdash; Bruce's euphemism for the myriad foul plots he hatches directed at workmates. He is also addicted to cocaine, and is sexually abusive towards the women in his life. He is able to indulge in non-stop sex and drug use during his annual holidays to Amsterdam. The novel begi"
4568,book_4582,book,Starfall,Stephen Baxter,Unknown,"In the year 4771 colonized planets around nearby stars plan to win their freedom from Earth. Since they are only capable of sublight space flight their rebellion is fifty years in the making. They launch several waves of GUTships and a computer virus against earth. It is discovered that Empress Shira, who has ruled Earth and its colonies for nearly a thousand years is a refugee from the future, a member of the religious group known as The Friends of Wigner, who is attempting to guide Earth into "
4569,book_4583,book,The Negotiator,Dee Henderson,"Thriller, Speculative fiction, Fiction","Late 1989: Texan oil tycoon Cyrus V. Miller reads a report he had commissioned into dwindling oil supplies in the free world and concludes that the oil fields of the Middle East must be brought under American control. Separately, a high-ranking General in the Soviet Army comes to a similarly depressing conclusion about oil access and plans a covert mission to invade Iran and take over the massive oil supplies there. Meanwhile, the President of the United States, John Cormack, meets with his Sovi"
4570,book_4584,book,Renaissance,Raymond F. Jones,Science Fiction,"The story concerns two worlds: the remnants of Earth, which has been destroyed, and Kronweld, which exists in another plane."
4571,book_4585,book,Hatyapuri,Unknown,Unknown,"Disturbed by the heat and humidity of Calcutta in June, (combined with frequent electricity failures) the ""Three Musketeers"", Prodosh C. Mitter (Feluda), Topshe, and Lalmohon Babu (alias Jatayu) go to Puri for vacation. There they find that not everybody is there for their holidays. The mystery revolves around Mr. DG Sen, an elderly gentleman, who has the hobby of collecting rare 'Puthis' (old hand written books/manuscripts). He is a true collector and denies lucrative offers from prospective bu"
4572,book_4586,book,Leven Thumps and the Gateway to Foo,Obert Skye,"Speculative fiction, Fantasy, Children's literature","The book begins by telling what happened to the town of Tin Culvert, Oklahoma (now Burnt Culvert, Oklahoma.) The nit, Antsel, races through the burning town to safely plant Geth, who has been turned into a seed by Sabine. When he does, the shadows of Sabine find him and kill him while looking over his body for the seed. The book continues to tell about the birth of Leven Thumps, whose mother died birthing him, and his father died before the unfortunate child is born in a motorcycle crash. His mo"
4573,book_4587,book,To Your Scattered Bodies Go,Philip José Farmer,"Science Fiction, Speculative fiction","The novel begins with adventurer Sir Richard Francis Burton waking up after his death on a strange new world made up of one ongoing river. He discovers that he is but one of billions of previously dead personalities from throughout Earth's history stretching from the Neolithic age through 2008 AD also 'resurrected'. At first the resurrectees are primarily focused on survival, though their basic needs for food are mysteriously taken care of; but eventually Burton decides to make it his mission to"
4574,book_4588,book,Monstrous Regiment,Terry Pratchett,"Speculative fiction, Fantasy, Fiction","The bulk of Monstrous Regiment takes place in the small, bellicose country of Borogravia, a highly conservative country, whose people live according to the increasingly psychotic decrees of its favored deity, Nuggan. The main feature of his religion is the Abominations; a long, often-updated list of banned things. To put this in perspective, these things include garlic, cats, the smell of beets, people with ginger hair, shirts with six buttons, anyone shorter than three feet (including children "
4575,book_4589,book,Dealing with Dragons,Patricia Wrede,"Speculative fiction, Fantasy","Princess Cimorene is frustrated by her life and persuades the castle staff to teach her fencing, magic, cooking, Latin, and other interesting subjects that are considered ""improper"" for princesses to learn. The King and Queen take Cimorene on a state visit to a neighboring kingdom. Cimorene learns that they plan to arrange her marriage to an annoying prince. Faced with the prospect, Cimorene runs away. She meets a group of dragons, and volunteers to become the ""captive"" princess of the dragon Ka"
4576,book_4590,book,Castle Dor,Arthur Quiller-Couch,Historical novel,"Castle Dor began life as the unfinished last novel by Sir Arthur Quiller-Couch, the celebrated 'Q', and was passed by his daughter to Daphne du Maurier. The story is based around the legend of Tristan and Iseult, but set in 19th century Cornwall. The main characters are a Breton onion seller, called Amyot Trestane, and the newly-wed Linnet Lewarne."
4577,book_4591,book,Brotherhood of the Wolf,Dave Wolverton,"Speculative fiction, Fantasy, High fantasy","Newly crowned by the Earth, Gaborn struggles to understand his new powers and responsibilities in protecting the land, while Raj Ahten wreaks havoc on the Mystarrian countryside in an attempt to lure the new King Orden back to his own country. Soldiers and knights equitable of various nations begin arriving at Castle Sylvarresta, to see if the rumors of the rise of a new Earth King are true. Meanwhile, a second story line is brewing. Roland Borenson, father to Gaborn's bodyguard Ivarian Borenson"
4578,book_4592,book,"The Fantastic Ordinary World of Lutz Rathenow: Poems, Plays & Stories",Unknown,Unknown,"""The world Berlin author Lutz Rathenow depicts is the colorless, flat, thuddingly dull DDR — the German Democratic Republic, as it called itself, or Communist East Germany, as we knew it: a sub-Soviet, sub-standard, bureaucratic parody of a society (1949-1990). And he depicts it very well, only not from the outside, with detailed descriptions, historical costumes and polemical plots, but rather from the inside, dropping in on the mind of one or another of its characters. Here is the little man s"
4579,book_4593,book,Double Solitaire,Melinda M. Snodgrass,"Science Fiction, Speculative fiction","In a previous volume Dr Tachyon had found his personality placed in the body of a pregnant teenage girl by his evil grandson Blaise. Blaise flees with Tachyon's body to Tachyon's home planet Takis. Determined to recover his body Tachyon and his friends Popinjay and Cap'n Tripps purchase travel on an alien spaceship and head to Takis. While there they have to fend off an attack by an alien race, in the course of which one of Cap'n Tripps' personas is killed."
4580,book_4594,book,Ruth Hall,Fanny Fern,Roman à clef,"The autobiographical novel can be divided into three phases: Ruth's happy marriage, impoverished widowhood, and rise to fame and financial independence as a newspaper columnist. In the first chapter, young Ruth Ellet sits at her window on the night before her wedding, reflecting on her life so far. When her mother died long ago, she was sent away to boarding school, where she excelled at writing compositions. There is no love lost between Ruth and her father, who has plenty of money but begrudge"
4581,book_4595,book,The House,Danielle Steel,Novel,"Overlooking San Francisco, a huge mansion in need of repair is viewed by Sarah Anderson, an estate lawyer, who has just inherited a huge fortune from a deceased client with the intention of spending it on something that she desires. Sarah restores the mansion, drawn to its grandeur and beauty with the help of architect Jeff Parker, who is as passionate about the house as she. As the two work together, they fall in love with the house and then each other as the house touches both of them and open"
4582,book_4596,book,The Talisman,Stephen King,"Fantasy, Speculative fiction, Horror","Jack Sawyer, twelve years old, sets out from Arcadia Beach, New Hampshire in a bid to save his mother, who is dying from cancer, by finding a crystal called ""the Talisman."" Jack's journey takes him simultaneously through the American heartland and ""the Territories"", a strange fantasy land which is set in a universe parallel to that of Jack's America. Individuals in the Territories have ""twinners,"" or parallel individuals, in our world. Twinners' births, deaths, and (it is intimated) other major "
4583,book_4597,book,Exit Music,Ian Rankin,"Crime Fiction, Detective fiction","Just a week before Rebus’s retirement, Rebus and Clarke are investigating the death of a famous Russian exile poet who was mugged and beaten to death on King's Stables Road. Then a sound recordist with close ties to the dead Russian poet turns up dead. Rebus searches for the killer of both men but is suspended for his over-enthusiastic interrogations and getting on the wrong side of powerful Scottish bankers and politicians. His last three days before retirement are spent working from his apartm"
4584,book_4598,book,Pandora,Anne Rice,"Children's literature, Horror, Speculative fiction","Pandora was born with the name Lydia in the Roman Republic in the year 15 BC to a Senatorial family. She is tall, with rippling brown hair and gold-brown eyes. Like many Patrician Roman females of the time Pandora was taught how to read and write and is well versed in epic poems, especially Ovid's works. She meets Marius for the first time when he is twenty-five and she is ten. Marius asks for Lydia's hand in marriage, but her father rejects Marius' offer. Five years later, Lydia sees Marius at "
4585,book_4599,book,The Haunted Woman,David Lindsay,Fantasy,"Isabel Loment, engaged to the ordinary and unexceptional Marshall Stokes, leads a peripatetic existence as the ward of her aunt, Ann Moor. Their travels take them to the downlands of Sussex, to Runhill Court, an ancient home owned by Henry Judge. There Isabel discovers a strange staircase few can see, which leads upwards to three doors. She chooses one, which opens onto a room that appears to exist only part of the time; what might lie behind the other doors remains a mystery. In the room she re"
4586,book_4600,book,Noite,Erico Verissimo,"Mystery, Drama","In the 1950s, a man finds himself in the middle of the streets of Porto Alegre with a wallet full of money... and no memory of any past events. He finds two ""vultures of the night"", enigmatic noctivague figures with a high penchant for bohemian lifestyles. The ""vultures"" (called The Master and The Hunchback) take the man on a surrealistic journey through the darkest places of the city, to ""enjoy the night"": a funeral parlor, the emergency service of a hospital, a deluxe whorehouse and a low-leve"
4587,book_4601,book,Vendetta for the Saint,Leslie Charteris,Mystery,"This story is set on the Island of Sicily, where the Saint is confronted with the Italian Mafia. The story shows a slightly older, more mature Saint. Although still a formidable opponent for any criminal, he will not storm into action but choose his moments more carefully. At the beginning, Simon Templar is on holiday in Naples when a small uproar on a lunch table draws his attention. An English tourist attempts to greet an Italian businessman as an old friend, but the Italian refuses to acknowl"
4588,book_4602,book,Paradox in Oz,Edward Einhorn,Fantasy,"As the novel opens, inhabitants of Oz are suddenly noticing unusual signs of aging. Omby Amby finds a white hair in his luxurious green beard, and common citizens confront wrinkles and back problems. Ozma and her advisers realize that the magic anti-aging spell, which has prevailed in Oz throughout her reign, has now stopped working. In their attempt to figure out why, Ozma and Glinda consult the Great Book of Records, but find cryptic references to the ""Man Who Lives Backwards."" (This person is"
4589,book_4603,book,Stormed Fortress,Janny Wurts,"Fantasy, High fantasy","Though Athera may be free, the fight is far from over… The heartstopping conclusion to the Alliance of Light series brings Lysaer's army of Light to besiege the great citadel of Alestron. Master of Shadow, Arithon, with barely a moment's recuperation from his victory over the necromancers, has discovered that young Jeynsa s'Valerient whom he has sworn to protect, has joined the ranks of his disowned allies within the threatened citadel. Worse, following a failed rescue attempt, his beloved Elair"
4590,book_4604,book,Hour of the Assassins,Andrew Kaplan,Unknown,"Ex-CIA agent, John Caine, is hired by Wasserman, a Holocaust survivor, who has become a Hollywood porn king, to find and kill Dr. Josef Mengele, the infamous Angel of Death of Auschwitz, who has eluded pursuers for more than 30 years. After an encounter with Wasserman’s mistress, C.J., Caine begins a hunt for Mengele that will lead him from Europe to an encounter with the Neo-Nazi ODESSA ring in Paraguay to Jerusalem and Vienna, where he learns of a plot called “Starfish” and escapes ODESSA agen"
4591,book_4605,book,Jarka Ruus,Terry Brooks,"Science Fiction, Speculative fiction, Fantasy","In the 20 years since the events chronicled in The Voyage of the Jerle Shannara, Grianne Ohmsford has become High Druid, or Ard Rhys, of the new Druid Council, but not without misgivings by many over her former life as the evil Ilse Witch. In a bid for power, a group of Druids led by Shadea a'Ru use unorthodox magic called ""liquid night"" to send Grianne out of the Four Lands and into the Demon-infested world of the Forbidding. Tagwen, Grianne's loyal Dwarf aid, sets out to restore her, seeking t"
4592,book_4606,book,Jennie Gerhardt,Theodore Dreiser,"Fiction, Novel","Jennie Gerhardt is a destitute young woman. While working in a hotel in Columbus, Ohio, Jennie meets Senator George Brander, who becomes infatuated with her. He helps her family and declares his wish to marry her. Jennie, grateful for his benevolence, agrees to sleep with him, but ill fortune intercedes and the Senator dies, leaving her pregnant. She gives birth to a daughter, Vesta, and moves to Cleveland where she finds work as a lady's maid to a prominent family. Consequently, she meets Leste"
4593,book_4607,book,"Twelfth Night, or What You Will",William Shakespeare,Unknown,"Viola is shipwrecked on the coast of Illyria and she comes ashore with the help of a captain. She loses contact with her twin brother, Sebastian, whom she believes to be dead. Disguising herself as a young man under the name Cesario, she enters the service of Duke Orsino through the help of the sea captain who rescues her. Orsino has convinced himself that he is in love with Olivia, whose father and brother have recently died, and who does not wish to see any suitor till seven years, the Duke in"
4594,book_4608,book,Shelter,Harlan Coben,Unknown,"After Mickey Bolitar moves in with his uncle, Myron Bolitar, his new girl friend disappears and he will stop at nothing to find her. The book begins with Mickey walking in front of his neighbours house. The women living there walks out and tells him that his father is alive. Mickey believes the lady is crazy because he was present at his fathers death."
4595,book_4609,book,Antony and Cleopatra,Colleen McCullough,"Fiction, Romance novel, Historical novel","McCullough continues her Masters of Rome series with the seventh and final installment, Antony and Cleopatra. The novel spans the years 41 BC to 27 BC, from the aftermath of the Battle of Philippi and the suicide of Marcus Junius Brutus and Gaius Cassius Longinus until the downfall of the second triumvirate, the final war of the Roman Republic and the renaming of Octavian to Augustus in 27 BC. The novel, which is supposed to be McCullough's last in the series, focuses mainly on the famous love s"
4596,book_4610,book,The False Inspector Dew,Peter Lovesey,Crime Fiction,"It is 1921, and Alma Webster, a reader of romances, is passionately in love with her dentist, Walter Baranov. There is only one foreseeable outcome: the murder of his wife. Inspired by the real-life Dr Crippen case, they plot a way to achieve it perfectly aboard the ocean liner, Mauretania. The dentist takes on the identity of Inspector Walter Dew, Crippen’s nemesis, but then a murder occurs aboard the ship and the captain invites ""Inspector Dew"" to investigate."
4597,book_4611,book,Gangster,Lorenzo Carcaterra,Novel,"The novel opens in 1996 as Gabe, now middle-aged man, keeps watch over an old Angelo Vestieri on his hospital deathbed. Slipping back in time to the Depression, the narrative tracks the rise of the famed mob boss from a simple Italian immigrant to the most powerful man of Manhattan's underworld, when a ten year old Gabe, by chance, walks into Vestieri's bar. Vestieri takes the boy under his wing and ushers him into the world of organized crime. Gabe learns what it takes to rule an empire with hi"
4598,book_4612,book,Rice,Unknown,Unknown,"The story is based during the flood days in 1930s in China, when people immigrated from the countryside to the urban areas in search of work. This is also a story about Five Dragons, a poor but haughty country boy, chancing his fortune in the city and the humiliation he faces as soon as he reaches the city. He is a typical man hungry for wealth but with an insatiable thirst for pleasure, especially sex. His master has two daughters, ""Cloud Weave"" and ""Cloud Silk"". Cloud Weave is very much like F"
4599,book_4613,book,The Greatest Show on Earth: The Evidence for Evolution,Richard Dawkins,Unknown,"The book is divided into 13 chapters spanning over 400 pages, and includes an appendix called ""The History-Deniers"" in the end material. #Only a Theory? (Nature of scientific theory and fallibility) #Dogs, Cows and Cabbages (Artificial Selection) #The Primrose Path to Macro-Evolution #Silence and Slow Time (Discusses the Age of the Earth and the Geological Time Scale) #Before Our Very Eyes (Examples of Evolution Observed) #Missing link? What do you mean, 'Missing'? (the fossil record) #Missing p"
4600,book_4614,book,Tintin in Thailand,Unknown,Unknown,"The plot opens on a rainy and cold Marlinspike Hall; the occupants, Tintin and Captain Haddock are miserable and poor because there are no new Tintin adventures sending them to adventures in the sun any more since the death of their creator Hergé. (This is the first of many self-references the plot makes.) As they consider their plight, Jolyon Wagg's wife arrives and ask them to go to Thailand to look for her husband who went there on a trip he won from his employer, the Rock Bottom Insurance Co"
4601,book_4615,book,Aurora Leigh,Unknown,Unknown,"Aurora describes her childhood in Florence, growing up as the daughter of a Tuscan mother and an English father. Her mother died when she was four, leaving her father to raise her. He was a scholar, and imparted to her knowledge of Greek and Latin and a love of learning. Her father died when she was thirteen, and she was sent to England to live with his sister, her aunt, in Leigh Hall, her family’s ancestral home. Her aunt tried to educate her in what she considered a ladylike manner, but Aurora"
